date,country_code,country_name,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-25,AD,Andorra,,576.0,,,,576.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,AD,Andorra,460.0,1036.0,,,460.0,1036.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,AD,Andorra,255.0,1291.0,,,255.0,1291.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,AD,Andorra,331.0,1622.0,,,331.0,1622.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,AD,Andorra,519.0,2141.0,,,519.0,2141.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,AD,Andorra,249.0,2390.0,,,249.0,2390.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,AD,Andorra,0.0,,,,136.0,2526.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,AD,Andorra,49.0,2439.0,,1172.0,1085.0,3611.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,AD,Andorra,1211.0,3650.0,92.0,1264.0,1303.0,4914.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,AD,Andorra,3448.0,7098.0,1.0,1265.0,3449.0,8363.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,AD,Andorra,0.0,,0.0,,925.0,9288.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,AD,Andorra,0.0,,0.0,,3152.0,12440.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,AD,Andorra,2683.0,9781.0,3219.0,4484.0,2829.0,15269.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,AD,Andorra,0.0,,0.0,,1822.0,17091.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,AD,Andorra,0.0,,0.0,,1973.0,19064.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,AD,Andorra,11952.0,21733.0,197.0,4681.0,7350.0,26414.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,AD,Andorra,2089.0,23822.0,0.0,4681.0,2089.0,28503.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03,AD,Andorra,360.0,24182.0,18.0,4699.0,378.0,28881.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,AD,Andorra,2749.0,26931.0,3.0,4702.0,2752.0,31633.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,AD,Andorra,682.0,27613.0,2.0,4704.0,684.0,32317.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,AD,Andorra,0.0,27613.0,3599.0,8303.0,3599.0,35916.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,AD,Andorra,2922.0,30535.0,2635.0,10938.0,5557.0,41473.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14,AD,Andorra,4111.0,34646.0,5478.0,16416.0,9634.0,51107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,AD,Andorra,4021.0,38667.0,8182.0,24598.0,12158.0,63265.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-28,AD,Andorra,3049.0,41716.0,2015.0,26613.0,5064.0,68329.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-12,AD,Andorra,1292.0,43008.0,397.0,27010.0,1689.0,70018.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-19,AD,Andorra,5437.0,48445.0,6894.0,33904.0,12331.0,82349.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,AD,Andorra,2302.0,50747.0,1669.0,35573.0,3971.0,86320.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15,AD,Andorra,297.0,51044.0,5043.0,40616.0,5340.0,91660.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-29,AD,Andorra,1866.0,52910.0,2392.0,43008.0,4258.0,95918.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26,AD,Andorra,1402.0,54312.0,4712.0,47720.0,6114.0,102032.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-03,AD,Andorra,71.0,54383.0,589.0,48309.0,660.0,102692.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,AD,Andorra,616.0,54999.0,1226.0,49535.0,1842.0,104534.0,,,,,,,,,,,,,,,,,,,,,,,,
